,FDR corrected P-value PD wo Tc vs. Ctrl wo Tc,FDR corrected P-value PD with Tc vs. PD wo Tc,FDR corrected P-value PD with Tc vs. Ctrl with Tc,FDR corrected P-value Ctrl with Tc vs. Ctrl wo Tc
A2M,1.0,1.0,,1.0
AAAS,,,1.0,
AAGAB,1.0,,1.0,
AARS,,0.5681132426895139,0.570616617425128,
AASDHPPT,,,,0.7482279625136768
AATK,0.46749875346678194,0.5350527023996412,0.5103033405862025,
ABAT,0.4385496625182283,,0.513512933347644,
ABCA1,1.0,,1.0,
ABCA2,,1.0,,
ABCA3,0.5381205872778906,,,
ABCA5,1.0,1.0,,
ABCA7,1.0,1.0,,
ABCA8,1.0,1.0,1.0,1.0
ABCB1,1.0,1.0,,
ABCB6,,0.4436739730857378,0.3833028895790402,
ABCB9,0.41463994520763076,,,
ABCC1,0.3763041366347151,,0.3994766295651252,
ABCC9,1.0,,1.0,
ABCD4,,0.5374888764719273,0.49526130611944974,
ABCF1,,1.0,,
ABCG1,1.0,1.0,,
ABCG2,,,1.0,
ABHD11,,,,0.5790679908326968
ABHD12,0.3188199360448164,0.4436739730857378,,
ABHD14A,,,0.3833028895790402,
ABHD14B,,0.9752995249484718,1.0,
ABHD17A,,0.5459568158274258,0.540903540903541,
ABHD17B,,,0.3833028895790402,
ABHD3,,0.45196049087099677,0.38354978354978353,
ABHD4,1.0,,,
ABHD5,1.0,,,
ABI1,1.0,,,
ABI2,,1.0,1.0,
ABI3,,1.0,1.0,
ABI3BP,1.0,,1.0,
ABL1,1.0,,,
ABLIM1,1.0,1.0,,
ABLIM2,1.0,1.0,1.0,
ABLIM3,,1.0,,
ABRACL,,0.6564922117445993,0.6476054507839348,
ABT1,,0.483214587610192,,0.7482279625136768
ABTB1,,1.0,1.0,
ACAA1,0.3356531528173319,0.46707366707366704,,
ACACA,,0.5350527023996412,,
ACAD8,0.3188199360448164,,,
ACADM,,0.4436739730857378,0.3833028895790402,
ACADSB,0.3188199360448164,,0.3833028895790402,
ACADVL,0.3156317366843683,,,
ACAN,1.0,1.0,,
ACAT1,0.32747167362551977,,,
ACBD3,,,0.6747699359464066,
ACBD4,0.3644012237762238,,,
ACER3,1.0,1.0,,
ACIN1,,1.0,,
ACKR1,1.0,,1.0,
ACKR3,0.37130038636062734,0.483214587610192,0.41570322881002497,
ACO2,0.3763041366347151,0.4436739730857378,,
ACOT13,0.3356531528173319,,,
ACOT7,1.0,,,
ACOT8,0.47102897102897107,,,
ACOT9,0.3188199360448164,,0.3833028895790402,
ACP1,,0.7819881268157131,,
ACP2,,,0.38354978354978353,
ACRBP,,,0.6176871257085161,
ACSBG1,,,0.3970983699080376,
ACSL1,0.3188199360448164,0.4436739730857378,,
ACSL3,,0.9752995249484718,,
ACSL4,0.3690463382771076,0.483214587610192,0.3954768635619699,
ACSL5,,0.44536415964987397,0.3833028895790402,0.7193806193806194
ACSL6,,1.0,1.0,
ACSS1,0.3188199360448164,,,0.5790679908326968
ACSS3,1.0,1.0,1.0,
ACTA2,1.0,,1.0,
ACTB,0.8128467917624544,0.8213458782020656,0.8825567496087726,
ACTC1,1.0,,,1.0
ACTG1,,,1.0,
ACTG2,1.0,1.0,,
ACTN1,,1.0,1.0,
ACTN4,1.0,1.0,1.0,
ACTR2,,,0.7308684800541478,
ACTR3,1.0,1.0,1.0,
ACTR3B,1.0,,,
ACVR1,,1.0,1.0,
ACVR1C,1.0,,,1.0
ACVR2A,,1.0,1.0,
ACVR2B,,1.0,1.0,
ADA,0.9362717574396408,,1.0,1.0
ADA2,,1.0,,
ADAM10,1.0,,1.0,
ADAM11,1.0,,1.0,
ADAM17,1.0,,1.0,
ADAM19,1.0,,1.0,
ADAM22,,1.0,1.0,
ADAM28,,,1.0,
ADAM33,0.5091421931184542,,,0.8719765083401446
ADAM9,1.0,,1.0,
ADAMTS1,,1.0,,
ADAMTS10,0.91198663088064,,,
ADAMTS12,1.0,1.0,,
ADAMTS14,,0.4436739730857378,,
ADAMTS18,,,1.0,
ADAMTS4,1.0,,1.0,
ADAMTS7,1.0,1.0,1.0,
ADAMTS8,0.4851944172332522,,,
ADAMTS9,1.0,,,
ADAMTSL3,1.0,,1.0,
ADAMTSL4,,,0.8224043163314418,
ADAR,,1.0,,
ADARB2,1.0,,1.0,
ADCK1,0.3366494133044656,0.4436739730857378,,
ADCY1,1.0,1.0,1.0,
ADCY2,1.0,1.0,,
ADCY3,1.0,,,
ADCY7,,1.0,1.0,
ADCY8,1.0,,1.0,
ADCY9,,1.0,,1.0
ADCYAP1,1.0,,1.0,
ADCYAP1R1,1.0,1.0,1.0,
ADD2,1.0,,1.0,
ADD3,1.0,,,1.0
ADGRA1,,1.0,,1.0
ADGRA2,1.0,,1.0,
ADGRB1,1.0,1.0,1.0,
ADGRB2,1.0,,1.0,
ADGRB3,1.0,1.0,1.0,
ADGRG1,1.0,1.0,,
ADGRG5,,0.4577491474043198,0.4155310338516445,
ADGRL1,,1.0,,
ADGRL3,0.3188199360448164,,0.3833028895790402,
ADH5,0.403147081229273,,,
ADI1,0.3356531528173319,,,
ADIPOR1,0.4866481832773968,0.5480391168464562,,
ADK,0.39918606738883244,,0.44345330782577747,
ADM,,1.0,1.0,
ADPGK,,0.44536415964987397,,
ADPRHL2,,0.628648884155492,,
ADRA2A,1.0,,1.0,1.0
ADRA2C,,1.0,,
ADRB1,1.0,,1.0,
